Evaporation,Sunshine,WindSpeed,Humidity,Pressure,Temperature,Rainfall
4.2,7.3,19.5,58.5,1020.35,17.075,0
5,3.6,21,59.5,1020.6,16.225,0
4.4,12.7,8.5,50,1015.3,19.2,0
6.8,8.8,7.5,49.5,1011.4,21.625,0
6.4,0.9,6.5,89.5,1009.35,18.3,5.4
2.8,10.6,16.5,49.5,1017.2,17.15,1.4
6.6,8.7,16.5,52,1019.45,15.875,0
6.4,0.8,6.5,63,1016.8,17.475,0
1.6,2.3,8.5,85.5,1014.95,17.85,3.4
1.8,8.1,14,64.5,1010.6,23.375,6.4
4.4,5.9,35.5,77,996.65,20.525,11
7.8,10.2,14.5,54,1009.3,15.825,17.4
6.2,12.1,10,56,1011.25,18.575,0
8.2,5.6,11,59.5,1019.75,16.6,3.4
5.2,13,12.5,49,1020.6,18.825,0
7.2,7.1,27.5,66,1015.8,19.95,0
8.8,13.2,9.5,58.5,1015.1,22.275,14.4
6.6,13.6,6.5,47.5,1015.65,24.45,0
9.6,13,14,36.5,1016.2,27.025,0
11.4,13.6,8,32,1017.4,25.35,0
8.8,12.8,6.5,35,1013.7,25.375,0
7.6,10.5,5.5,28.5,1010.65,26.475,0
12.6,2.2,22,62,1016.55,20.2,0
6.2,12.5,25,50.5,1014.6,21.55,0
7.4,11.7,11,54.5,1009.6,21.25,0
6.6,10.5,12.5,55.5,1004.95,24.8,0
9,12.6,11,48,1010.9,25.625,0
10,8.1,8,60.5,1014.55,23.225,0
6.6,8.8,12,59.5,1017.2,23.65,0
6.6,12.8,8.5,44.5,1015.55,25.6,0
9.4,13.3,12.5,40,1009.15,28.125,0
13.8,6.9,10.5,44.5,1005.3,28.55,0
9,13.5,15,50,1002.9,26.4,2
12.4,6,16,63.5,1012.3,19.35,0
5.2,11.1,11,48,1011.6,24.725,0
10.4,8.4,17.5,60,1007.3,24.775,0
6.4,11.6,24,52,1015.9,20.325,4.8
9.6,0.1,18,59,1016.65,18.175,0
5,0,11,90,1007.35,17.875,18.8
1.4,8.1,23.5,75.5,1004.45,20.8,12.2
5.6,1.6,19.5,65.5,1011.75,17.95,0.8
4.4,11.6,9,50.5,1017.75,17.35,0
5.8,10.8,7,49,1020.4,18.3,0
6.4,9.9,8.5,46.5,1019.7,20.35,0
6.8,8.2,13,49.5,1018.5,20.825,0
7.4,9,5.5,49,1014.45,22.025,0
6.6,11.6,15,49.5,1011.3,23.725,0
9.4,13.2,14,39,1012.95,25.75,0
10.4,11.8,8.5,47,1016,25.975,0
9.2,9.9,9.5,48.5,1015.85,27.05,0
10.2,3.6,13,57.5,1013.7,23.275,5.2
5.4,6.2,11,61,1018,19.8,2.2
5.8,8.1,9,57.5,1016.35,22.45,0
5.8,9.2,13,52.5,1014.75,24.375,0
8,0,10,84,1012.95,20.35,1.8
2.8,0.3,9,79.5,1008.9,19.875,9
2.8,8,15,59,999.8,21.55,1
6.8,5.9,15.5,76,999.15,19.225,0
5.4,5.6,13.5,66.5,1006.3,16.15,16.2
4,8.9,16,58,1007.25,15.95,0
5.8,9.6,15,51.5,1012.5,16.9,0
5,10.7,10,54,1013.9,18.425,0
6.6,5.9,13,77.5,1008.8,19.275,4.4
3.2,0.4,14,77,1010.5,15.975,11
2.8,12.7,10,50,1016.3,17.125,0.2
5.6,12.6,7,50.5,1018.45,18.825,0
7.2,12.6,13,55.5,1021.45,19.325,0
7.4,10.2,11,55,1023.3,18.525,0
6.8,11.7,9,57,1019.35,19.475,0
5.6,12.1,10.5,53.5,1015.2,20.375,0
7.2,8.2,5.5,54.5,1010.65,21.725,0
7.8,3.8,5.5,72,1010.1,20.65,1.8
3.2,8.6,28,60,1005.3,21.3,6.6
7.8,12.4,23,44.5,1006.4,19.5,0
10.4,12.4,22.5,44,1007.55,18.45,0
5.2,10.2,8,52.5,1015.35,19.375,0
5,11.6,10.5,50.5,1016,21.4,0
7.8,8.1,30,49.5,1011.35,20.925,0
7.6,0.8,13,76,1009.95,15.775,0
5.2,12,20.5,46,1015,13.375,10.4
6.2,12.1,15,45.5,1020.05,14.475,0
6.2,11.6,9,51,1024.75,16.525,0
5.6,10.1,7.5,53,1022.9,18.725,0
6,7.3,6.5,50,1019.65,20.225,0
6,11,6.5,52,1023.85,20.375,0
6,11.3,7.5,50,1021.6,23.025,0
8.4,7.5,9,45,1019.65,21.3,0
4.8,11.5,7.5,59,1022.7,18.95,3
5,11.5,9,49.5,1023.95,21.175,0
6.6,11.2,7.5,51,1022.65,22.875,0
6.4,8.5,9,34,1021.05,25.375,0
7.8,11,17,51.5,1019.6,23.3,0.2
8.6,9.7,7,54.5,1019.3,23.525,0
7.2,11.3,11,36,1020.85,24.175,0
6.4,11.2,5.5,31,1020.9,26.125,0
9.4,11.4,5,30.5,1022.5,23.075,0
7.8,11.2,11,47.5,1022.45,22.1,0
5.8,10.7,9.5,53,1020.75,22.1,0
9,9.8,9.5,53.5,1020.4,21.375,0
5.2,8,13,55.5,1011.6,21.375,0
8.2,0,13,69.5,1018.35,13.75,0
2.8,1.6,11.5,67.5,1022.7,15.775,0
2.4,6.2,6.5,60,1021.25,19.35,0
4.8,1.9,12.5,78.5,1017.05,19.025,0.6
2.8,0,15.5,93.5,1008.35,15.875,6.4
2.6,9.1,18.5,63,1008.15,16.325,19.8
4.6,9.6,12,58,1013.7,12.125,0
3.6,11,13,56.5,1016.2,12.25,0
3.4,10,15.5,60,1013.2,13.15,0
6.4,10.8,18.5,47,1010.25,13.1,0
6.4,10,22.5,48,1012.85,14.5,0
6,10.3,9,53,1022.55,13.8,0
3.6,5.6,19.5,58,1014.25,15.15,0
9.6,9.7,29.5,54,1011.5,11.025,2.6
4.8,9.6,6.5,55,1020.15,10.525,0
3.2,10.6,7,51.5,1023.75,13.325,0
2.8,9.3,9,52.5,1026.05,15.35,0
3.8,7.8,11,57,1025.9,15.75,0
4.2,4.1,12,56.5,1026.8,14.35,0
2.8,6.8,7.5,59,1023.75,14.5,0
2.2,9.5,5,55,1021.15,16.575,0
3.4,10.2,4.5,50.5,1018.95,16.4,0
4.6,6.1,8.5,53.5,1017.5,16.35,0
3.2,7.7,14,76,1016.1,14.175,2
3.8,9.3,14.5,55,1020.2,13.475,5.2
3.2,10.8,8,51,1025.55,14.7,0
3.4,10.6,11,52,1026.15,14.25,0
4.6,6.3,7,60.5,1025.25,14.675,0
3.2,8.3,14,50.5,1025.7,15.175,0
3,4.9,17.5,60,1028.45,13.325,0
4.4,7.1,20.5,65.5,1026.2,13.975,0
2.8,10.1,8,55.5,1022.9,13.35,0
3.8,8,17.5,64,1024.65,13.675,0
4,6.8,3.5,58.5,1023.85,14.3,0
2,7.9,8,68.5,1021.75,12.625,0
2,8.9,3.5,63,1017.1,14.15,0
2.8,6.5,11,66.5,1009.3,13.4,0.2
5.8,5.8,28.5,59.5,1000.45,14.4,0
4.4,5.6,24,67.5,1007.2,7.875,7.2
1.8,9.5,4.5,54.5,1020.1,7.8,0.2
1.4,7,10.5,60,1022.35,8.05,0
2.8,0.8,16,60.5,1019.55,10.125,0
1.6,9.2,17,59.5,1018.65,11,0
4,9.4,9.5,58,1019.1,10.3,0
2.4,9.3,8.5,59,1020.6,9.35,0
3.4,8.3,10.5,58.5,1017.8,11.4,0
2.8,3,16.5,61.5,1015.9,13.05,0
3.4,9.4,23.5,58,1014.65,13.7,0
4.4,9.4,4.5,62,1020.15,10.375,0
2.2,9.2,5.5,57,1021.75,12.35,0
2.4,9.3,5.5,60.5,1021.6,12.925,0
2,1.6,8.5,66,1022.95,14.1,0
2.2,7.7,9.5,60,1022.25,14.875,0
2.2,9.4,11,60.5,1023.05,11.7,0
2,9.2,20,64,1022.7,11.775,0
2.4,8.7,11,60,1021.1,10.5,0
3,4.3,12,78.5,1015.7,11.425,1.8
1.8,1.7,27,73,1006.1,9.7,1
1.6,8.8,19.5,62,1008.35,9.9,0.8
2.2,9.3,12,60.5,1016.05,8.9,0
2.2,5.6,15,75.5,1020.25,9.325,0
2.6,7.3,4.5,64,1023.7,11.45,0
2.6,9.2,6.5,58.5,1028.2,9.2,0
2.4,6.7,8.5,65,1026.65,8.95,0
1.2,8.9,6,58.5,1025.1,9.025,0
1.6,8.4,10.5,64.5,1023.65,10.15,0
2,5.1,6,74.5,1024.85,12.025,3.8
1.2,8.5,6.5,74,1024,12.4,5.2
1.6,8.2,3,70.5,1025.95,10.175,0
1.2,8.5,7,68.5,1030.85,10.625,0.2
2,8.6,8.5,64.5,1030.95,10.225,0
2.2,8.9,3.5,61,1028.8,10.125,0
2.2,2.7,7,83,1030.6,8.275,0
1,0.6,6,76,1028.7,11.425,0
0.6,0,10,92.5,1027.85,12.475,0.8
0.2,2.6,14.5,71.5,1026.95,12.625,3.8
2.2,2.7,13,74.5,1024.65,12,0
1.6,9,7.5,58,1023.65,11.725,0
1.4,9,7.5,64,1027.3,8.675,0
2,3,9.5,73,1033,9.925,0
1.2,2,12.5,70,1029.65,12.575,0
2.2,0,1,95.5,1026.05,11.05,6.2
0.2,0.5,19.5,77.5,1022.5,12.95,4.8
1.2,8.5,19.5,67,1021.7,12.4,0.2
3.2,7.1,23.5,70,1013.9,10.4,0.6
2.2,7.2,15.5,61,1025.65,7.575,0
2.6,8.2,25,64.5,1027.65,9.9,0
2.6,5.9,13,64.5,1026.3,12.2,0
1.6,5.8,7,69,1027.05,11.3,0
1,4.7,7.5,83.5,1025.1,8.725,0
0.6,2,6.5,79,1021.1,10.775,0
0.6,0,6.5,88.5,1020.2,10.275,4.8
0.8,7.7,12.5,79,1022,7.65,0.6
1.4,7.6,9,59,1026.05,9.875,0
2,6.8,11,72.5,1023.6,7.9,0
1.4,4.1,15,82,1026.2,7.45,0
2,9,14,64.5,1024.1,9,0
2.6,6.5,24,64.5,1019.55,9.15,0
3.4,8.9,15.5,61,1026.4,9.3,0
2.2,8,7.5,65.5,1027.55,7.475,0
1.4,6.1,14,61,1022.75,9.575,0
2.4,6.4,25,60.5,1013.7,9.625,0
3.6,5.6,33,64.5,1012.2,8.75,2
2.8,8.2,30.5,57.5,1013.75,10.65,0.2
2.8,8.9,13.5,67.5,1023.1,6,0
1.8,3.9,8.5,66,1030.25,6.25,0
1.4,7,2,68,1030.9,7.85,0
1.2,7.1,12,72.5,1028.15,7.675,0
1.4,0.2,6.5,97.5,1022.75,7.25,0.8
1.4,6.5,7.5,82.5,1020.6,6.325,16.8
0.8,2.8,12,81.5,1018.4,4.325,0
1.8,1.2,33,84,1012.55,5.85,0
1.4,7.7,25.5,71,1017.45,5.975,1.6
1.4,6.5,4.5,70.5,1024.9,4.8,0.2
1,0.9,7.5,80.5,1023.15,6.25,0
0.6,8.9,14.5,72,1020.4,10.45,0
1.8,5.2,17,64.5,1021.55,7.275,0
2,1.9,7.5,80.5,1022.45,6.675,0.2
0.6,4.7,12,77,1016.8,5.5,0
0.8,5.6,28.5,74,1010.1,6.95,0
2.2,8.1,18.5,59.5,1015.8,7.675,1.2
1.8,0,3,89.5,1011.7,5.25,0.2
1.8,7.5,28.5,67,1008.6,8.175,19.2
1.4,9.2,15,50.5,1025.75,5.95,0
1.6,7.7,8.5,62,1032.3,5.35,0
1.6,8.4,10,66.5,1029.8,6.425,0
1.2,8.1,10,58.5,1023.3,6.125,0
2.2,5.9,10.5,69,1017.65,5.35,0.2
1.4,1.9,9.5,79,1011.9,4.05,0
0.8,9.1,32.5,65,1014.5,6.075,1.4
1.8,8.6,20.5,59,1018.85,7.675,0
2.6,8.7,7.5,66,1016.45,5.9,0
2.2,6.8,13,59.5,1015.1,6.775,0
2.6,0.7,23.5,73,1003.2,7.725,1
2.2,9.3,29.5,61.5,1014.4,8.325,6.6
2.2,9.6,14,59,1019.65,8.625,0
2.4,5.8,11.5,70.5,1019.6,5.5,0
1.8,4.2,13,75,1020,5.425,0
1.6,8.3,26,57.5,1017.9,10.35,4
3,5,16.5,83.5,1017.15,5,0
1.4,7.2,18,65.5,1019.45,8.625,1.2
1.8,7.3,15,73,1020.7,5.1,0
2.4,4.7,27,80,1013.7,3.125,0.4
1.4,9.9,19.5,66,1017,5.5,0.4
1.8,7.9,23,66,1020.7,6.525,0
2.8,9.8,25,49.5,1023.3,7.85,0
3.4,9.4,33.5,52,1020.2,7.125,0
4.4,8.4,30.5,52.5,1013.55,10.125,0
3,10,26,39.5,1012.25,10.025,0
4,10.4,13,47,1022.65,6.4,0
3,6.8,18.5,59.5,1023.5,5.425,0
2.2,7.9,12,70.5,1027.6,5.025,0
2.4,4.7,18.5,48,1025.85,8.575,0
3,1.8,22.5,38.5,1019.6,9.575,0
2.6,7,20.5,55,1017.65,7.3,0
5.4,9.5,23.5,43.5,1025.7,7.925,0
2.6,10.4,6.5,46,1029.5,7.475,0
2.6,7.8,13,58,1027.3,7.85,0
2.8,9,13,50,1022.1,9.1,0
3,8.4,11,40,1026.6,8.525,0
3.4,9.9,10.5,51.5,1027.9,8.525,0
3.4,5.9,10,59.5,1025.25,9.475,0
1.8,4.1,5,63,1020.6,9.6,0
2.2,2.4,19.5,87,1010.8,12.35,4
2.6,10.8,24,47,1022.45,10.5,7.4
3.8,10.2,7.5,56.5,1025.9,10.175,0
2.8,3.9,18.5,60,1033.4,8.925,0
2.2,0.6,14,63,1033.8,8.8,0.2
1.6,0,13,76,1025.4,9.425,0
1.8,2.9,21.5,48,1017.95,12.025,0
2.8,8.6,14.5,58.5,1016,9.425,0
2.4,9.4,5.5,58,1019.4,9.55,1
3.4,10.9,15.5,39,1023.35,7.475,0
4,9.7,13,48.5,1020.35,8.425,0
3,9.9,12,44,1016.35,9.1,0
5,9.9,17.5,35.5,1012.75,13.625,0
5.6,10.2,23,39,1013.35,19.275,0
8.8,6,34.5,57,1006.65,16.85,9.8
5.2,8,41.5,48,1005.3,15.625,1.6
6.6,11,28.5,43,1017.3,9.1,3.4
5.6,9,6.5,56,1024.4,8.975,0
1.6,8.6,15,59,1018.3,10.975,0
3.6,10.3,18.5,42,1014.05,16.8,0
6.8,10.9,28,30.5,1011.7,17.6,0
10,11,23,33.5,1016.9,14.25,0
6.8,5.2,11,50.5,1009.3,15.5,0
6.4,7.9,18.5,58.5,1017.25,11.575,17.4
2.2,11.3,5,50,1029.1,11.725,0
2.6,11.1,8.5,51,1029.55,12.75,0
3.6,10.6,23,41.5,1023,14.7,0
4.8,10.5,13,43.5,1019.6,18.2,0
9.4,11.1,30.5,30.5,1010.2,20.525,0
9.6,9.4,14,36.5,1014.55,13.675,0
4.8,11.4,17,43,1018.4,11.3,0
5.4,11.1,18,36,1018.1,13.2,0
5.2,11,21.5,32.5,1015.9,19.725,0
10,10.8,36,33,1014.05,24.15,0
9.4,4.9,19.5,79.5,1014.35,17.225,7.6
4.2,6.7,13,62.5,1015.85,15.775,3
4.8,8.4,28.5,52.5,1007.4,14.55,0
5.4,11.8,19.5,56.5,1015.05,9.45,8.2
5.8,11.5,14,52.5,1018.3,10.55,0
6.2,11.5,5.5,45.5,1025.2,11.85,0
4.4,11,12.5,53.5,1026.85,14.5,0
5.4,11.2,9.5,50,1025.8,16.2,0
4.8,11.7,7.5,47,1023.65,15.825,0
6.2,7.5,19.5,51.5,1018.45,18.075,0
6.6,8.4,15.5,71.5,1017.95,16.725,13.2
3.4,10.4,5.5,56.5,1021,14.7,0.6
4.2,12.2,5.5,51.5,1024,13.55,0
6.2,12,13,53.5,1022.6,15.65,0
5.4,8.6,12,55.5,1023.95,16.95,0
5.8,9.8,14,48,1021.95,20.25,0
7.6,12.1,18.5,40,1019.45,20.35,0.2
9,6.2,11,41,1020.45,14.875,0
4.8,11.7,36,33.5,1023.25,10.25,0.8
7.4,12.2,20.5,36,1024.7,11.65,0
5.4,8.4,9.5,50,1020.8,12.525,0
5.2,10.8,11.5,36.5,1016.7,16.4,0
6.8,3.5,9.5,32.5,1015.9,19.05,0
7.6,12.1,28.5,26.5,1013.45,22.525,0
11.6,12.7,10.5,33.5,1018.45,20.225,0
8.4,5.3,10,55,1023.4,16.3,0
5,7.1,17,54,1018.6,20.275,0
